epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
186,996.421,0.77475,0.31432,0.87837,0.99857,1,0.995,0.9815,0.45823,0.19875,0.79036,0.000918725,0.000918725,0.000918725
187,1001.24,0.71224,0.28812,0.86347,0.99759,1,0.995,0.98003,0.44627,0.20869,0.79126,0.000917869,0.000917869,0.000917869
188,1006.75,0.74521,0.30706,0.8761,0.99819,1,0.995,0.98019,0.46645,0.21028,0.78415,0.000917009,0.000917009,0.000917009
189,1012.23,0.74743,0.30515,0.87269,0.99804,1,0.995,0.98259,0.47791,0.20704,0.78707,0.000916145,0.000916145,0.000916145
190,1017.79,0.77953,0.31118,0.88172,0.99857,1,0.995,0.9792,0.50392,0.20325,0.80002,0.000915277,0.000915277,0.000915277
191,1022.67,0.78271,0.30339,0.88338,0.99862,1,0.995,0.98555,0.48415,0.20446,0.79358,0.000914405,0.000914405,0.000914405
192,1028.61,0.70521,0.28661,0.86631,0.9986,1,0.995,0.98049,0.45591,0.19715,0.78544,0.000913529,0.000913529,0.000913529
193,1033.33,0.73322,0.29871,0.86443,0.99858,1,0.995,0.98344,0.46663,0.20171,0.78555,0.000912649,0.000912649,0.000912649
194,1038.71,0.7427,0.30663,0.87562,0.99858,1,0.995,0.97705,0.48645,0.20831,0.7963,0.000911764,0.000911764,0.000911764
195,1043.99,0.75724,0.29209,0.88026,0.9989,1,0.995,0.98187,0.49585,0.20611,0.80465,0.000910876,0.000910876,0.000910876
196,1049.44,0.72295,0.29338,0.86357,0.99826,1,0.995,0.98602,0.46875,0.18913,0.79896,0.000909984,0.000909984,0.000909984
197,1055.11,0.74678,0.29837,0.88066,0.99768,1,0.995,0.98381,0.47417,0.19489,0.7943,0.000909088,0.000909088,0.000909088
198,1060.36,0.77582,0.30369,0.88398,0.99833,1,0.995,0.98292,0.46565,0.18773,0.79078,0.000908188,0.000908188,0.000908188
199,1065.15,0.74605,0.2938,0.86245,0.99839,1,0.995,0.98447,0.46301,0.19598,0.78991,0.000907284,0.000907284,0.000907284
200,1069.43,0.81173,0.31468,0.87543,0.99851,1,0.995,0.98361,0.45991,0.1919,0.78258,0.000906375,0.000906375,0.000906375
201,1074.55,0.72901,0.29376,0.87267,0.99855,1,0.995,0.9836,0.45967,0.19212,0.78901,0.000905463,0.000905463,0.000905463
202,1079.52,0.75846,0.30769,0.88077,0.99789,1,0.995,0.97291,0.48482,0.20477,0.79573,0.000904547,0.000904547,0.000904547
203,1084.81,0.80109,0.31475,0.88684,0.99858,1,0.995,0.96759,0.48964,0.20493,0.79686,0.000903627,0.000903627,0.000903627
204,1090.29,0.74996,0.29255,0.87508,0.9985,1,0.995,0.97839,0.48949,0.20499,0.79443,0.000902703,0.000902703,0.000902703
205,1096.13,0.7366,0.30318,0.87832,0.99778,1,0.995,0.98169,0.50459,0.19781,0.79917,0.000901776,0.000901776,0.000901776
206,1101.2,0.74231,0.30257,0.87232,0.99575,0.99937,0.995,0.98228,0.45386,0.19774,0.78901,0.000900844,0.000900844,0.000900844
207,1106.87,0.70958,0.29213,0.88032,0.99819,1,0.995,0.98405,0.46373,0.19632,0.79394,0.000899908,0.000899908,0.000899908
208,1112.81,0.72031,0.28563,0.87768,0.99705,0.99989,0.995,0.98331,0.46655,0.18757,0.78963,0.000898969,0.000898969,0.000898969
209,1117.72,0.75975,0.3028,0.87221,0.9929,0.99944,0.995,0.98878,0.4195,0.18884,0.78186,0.000898025,0.000898025,0.000898025
210,1122.82,0.72181,0.28859,0.86876,0.99637,0.9993,0.995,0.98678,0.43071,0.19015,0.78175,0.000897078,0.000897078,0.000897078
211,1128,0.75966,0.29732,0.88014,0.99855,1,0.995,0.98382,0.45019,0.18673,0.78702,0.000896127,0.000896127,0.000896127
212,1133.72,0.74961,0.2969,0.88647,0.99827,1,0.995,0.98293,0.47705,0.19842,0.79098,0.000895172,0.000895172,0.000895172
213,1139.01,0.75006,0.30309,0.87272,0.99753,1,0.995,0.98118,0.46664,0.19516,0.79084,0.000894213,0.000894213,0.000894213
214,1143.83,0.72365,0.28412,0.86918,0.99814,1,0.995,0.97878,0.47618,0.19619,0.78786,0.00089325,0.00089325,0.00089325
215,1149.3,0.70646,0.27995,0.86405,0.99807,1,0.995,0.98648,0.4456,0.18823,0.7883,0.000892283,0.000892283,0.000892283
216,1154.35,0.68142,0.28377,0.86116,0.99842,1,0.995,0.98188,0.44628,0.19,0.79013,0.000891313,0.000891313,0.000891313
217,1159.29,0.74616,0.29061,0.8734,0.99864,1,0.995,0.98733,0.45299,0.18894,0.78808,0.000890339,0.000890339,0.000890339
218,1164.53,0.75973,0.30283,0.87837,0.99852,1,0.995,0.98627,0.44658,0.1884,0.78889,0.000889361,0.000889361,0.000889361
219,1169.9,0.66899,0.27056,0.86334,0.99858,1,0.995,0.98075,0.44601,0.18773,0.79129,0.000888379,0.000888379,0.000888379
220,1175.48,0.71117,0.28399,0.86489,0.99871,1,0.995,0.98361,0.47184,0.19082,0.79345,0.000887393,0.000887393,0.000887393
221,1180.35,0.76351,0.29791,0.87221,0.99845,1,0.995,0.98268,0.4587,0.18133,0.79376,0.000886404,0.000886404,0.000886404
222,1185.63,0.81125,0.30987,0.87921,0.99827,1,0.995,0.97892,0.43967,0.18639,0.7909,0.000885411,0.000885411,0.000885411
223,1191.41,0.75119,0.29801,0.88208,0.99808,1,0.995,0.9822,0.46073,0.1849,0.79385,0.000884414,0.000884414,0.000884414
224,1197.21,0.72341,0.27912,0.87681,0.99789,1,0.995,0.98257,0.46231,0.18277,0.78892,0.000883413,0.000883413,0.000883413
225,1201.94,0.73548,0.28884,0.86246,0.99857,1,0.995,0.98369,0.44415,0.19398,0.7859,0.000882409,0.000882409,0.000882409
226,1207.09,0.75257,0.2899,0.86928,0.99829,1,0.995,0.98579,0.44542,0.18773,0.78322,0.000881401,0.000881401,0.000881401
227,1212.23,0.73315,0.28247,0.86884,0.99814,1,0.995,0.98188,0.45106,0.18582,0.78938,0.000880389,0.000880389,0.000880389
228,1218.19,0.67475,0.27367,0.86476,0.99918,0.99972,0.995,0.98279,0.48162,0.18719,0.80545,0.000879374,0.000879374,0.000879374
229,1223.89,0.73811,0.28886,0.87151,0.99879,1,0.995,0.97705,0.46735,0.19772,0.8038,0.000878354,0.000878354,0.000878354
230,1229.54,0.72907,0.28417,0.8728,0.99866,1,0.995,0.98129,0.46984,0.18867,0.79264,0.000877332,0.000877332,0.000877332
231,1234.54,0.71643,0.27888,0.86401,0.99835,1,0.995,0.98102,0.46205,0.19042,0.7936,0.000876305,0.000876305,0.000876305
232,1240.18,0.72368,0.28141,0.87638,0.99748,1,0.995,0.9851,0.46415,0.1834,0.79064,0.000875275,0.000875275,0.000875275
233,1246.02,0.69783,0.27975,0.86496,0.99779,1,0.995,0.98343,0.45339,0.18378,0.7883,0.000874241,0.000874241,0.000874241
234,1250.31,0.73041,0.2812,0.86631,0.9986,1,0.995,0.98263,0.49132,0.19767,0.79181,0.000873203,0.000873203,0.000873203
235,1255.8,0.74827,0.29713,0.88248,0.99855,1,0.995,0.98348,0.46541,0.18117,0.78733,0.000872162,0.000872162,0.000872162
236,1261.42,0.76544,0.29198,0.88537,0.99884,1,0.995,0.98395,0.48623,0.18879,0.79425,0.000871117,0.000871117,0.000871117
237,1266.94,0.73046,0.28128,0.86675,0.99851,1,0.995,0.98743,0.45247,0.19029,0.78843,0.000870069,0.000870069,0.000870069
238,1271.89,0.77196,0.30018,0.87554,0.9977,1,0.995,0.98279,0.48528,0.19933,0.79127,0.000869017,0.000869017,0.000869017
239,1277.54,0.73704,0.28336,0.87717,0.99802,1,0.995,0.97814,0.47764,0.19767,0.79013,0.000867961,0.000867961,0.000867961
240,1282.53,0.7305,0.28934,0.86633,0.99819,1,0.995,0.98642,0.46828,0.19184,0.7923,0.000866902,0.000866902,0.000866902
241,1287.46,0.74425,0.29016,0.86046,0.99798,1,0.995,0.98048,0.4739,0.19231,0.79057,0.000865839,0.000865839,0.000865839
242,1293.52,0.72249,0.29281,0.87117,0.99684,0.99968,0.995,0.9847,0.47632,0.19231,0.79044,0.000864773,0.000864773,0.000864773
243,1298.79,0.71405,0.28922,0.86953,0.99815,1,0.995,0.98781,0.45815,0.18722,0.79059,0.000863703,0.000863703,0.000863703
244,1303.86,0.73139,0.28986,0.87397,0.99871,1,0.995,0.98361,0.45171,0.19376,0.78623,0.00086263,0.00086263,0.00086263
245,1308.47,0.69401,0.28103,0.85747,0.99839,1,0.995,0.98395,0.43622,0.18171,0.79,0.000861553,0.000861553,0.000861553
246,1314.05,0.68056,0.28106,0.86984,0.99837,1,0.995,0.98262,0.44636,0.18761,0.78244,0.000860473,0.000860473,0.000860473
247,1319.69,0.71743,0.28253,0.87395,0.99797,1,0.995,0.98304,0.45737,0.18593,0.79033,0.000859389,0.000859389,0.000859389
248,1325.03,0.68813,0.27143,0.86025,0.99733,0.99979,0.995,0.98215,0.47557,0.19308,0.79422,0.000858301,0.000858301,0.000858301
249,1330.43,0.66914,0.26446,0.86546,0.99426,0.99943,0.995,0.98598,0.44274,0.18357,0.78323,0.00085721,0.00085721,0.00085721
250,1336.1,0.66819,0.27251,0.86265,0.99718,0.99091,0.99482,0.98586,0.4556,0.1791,0.78845,0.000856116,0.000856116,0.000856116
251,1340.79,0.7031,0.27615,0.85954,0.99776,0.99946,0.995,0.98757,0.44975,0.18348,0.77988,0.000855018,0.000855018,0.000855018
252,1346.46,0.67938,0.27545,0.8678,0.99696,0.99978,0.995,0.98405,0.45764,0.18655,0.7899,0.000853917,0.000853917,0.000853917
253,1351.69,0.71251,0.27822,0.8717,0.99788,1,0.995,0.98805,0.45524,0.18453,0.78888,0.000852812,0.000852812,0.000852812
254,1356.24,0.73624,0.28694,0.86243,0.99816,1,0.995,0.98118,0.46979,0.19324,0.79295,0.000851704,0.000851704,0.000851704
255,1360.6,0.73518,0.28636,0.85449,0.99842,1,0.995,0.98629,0.46054,0.18503,0.78727,0.000850592,0.000850592,0.000850592
256,1365.59,0.70377,0.28405,0.86628,0.99858,1,0.995,0.98002,0.44457,0.18664,0.7841,0.000849477,0.000849477,0.000849477
257,1371.29,0.66446,0.26531,0.85814,0.99886,1,0.995,0.9839,0.43158,0.17948,0.78404,0.000848358,0.000848358,0.000848358
258,1376.42,0.71872,0.28238,0.86775,0.99845,1,0.995,0.98663,0.41327,0.17852,0.77779,0.000847237,0.000847237,0.000847237
259,1381.41,0.68723,0.28122,0.85213,0.9986,1,0.995,0.9861,0.44059,0.18975,0.78084,0.000846111,0.000846111,0.000846111
